date, pm25, pm10
2018-03-16,3,52
2018-03-17,3,95
2018-03-18,3,66
2018-03-19,3,72
2018-03-20,3,96
2018-03-21,2,78
2018-03-22,2,48
2018-03-23,3,37
2018-03-24,3,48
2018-03-25,3,76
2018-03-26,2,60
2018-03-27,3,61
2018-03-28,3,60
2018-03-29,3,60
2018-03-30,3,47
2018-03-31,2,53
2018-04-01,2,46
2017-10-26,3,112
2017-11-10,4,43
2017-11-14,4,120
2017-11-15,4,128
2017-11-21,2,96
2017-11-23,2,68
2017-11-26,3,242
2017-11-27,1,74
2017-12-01,3,103
2017-12-10,2,66
2017-12-13,3,117
2017-12-14,3,168
2017-12-16,4,18
2017-12-18,5,103
2017-12-19,4,72
2017-08-05,3,66
2017-08-10,4,55
2017-04-12,3,64
2017-04-20,4,60
2017-05-11,4,63
2017-06-17,1,47
2017-02-16,2,60
2017-03-09,4,44
2017-03-22,2,72
2016-12-14,5,76
2016-12-26,4,84
2020-03-02, ,45
2020-03-03, ,53
2020-03-04, ,45
2020-03-05, ,30
2020-03-06, ,40
2020-03-07, ,30
2020-03-08, ,28
2020-03-09, ,28
2020-03-10, ,40
2020-02-25, ,496
2020-02-26, ,54
2020-02-27, ,34
2020-02-28, ,39
2020-02-29, ,39
2020-03-01, ,42
2020-01-02, ,24
2019-10-12, ,35
2019-10-13, ,41
2019-10-14, ,50
2019-10-15, ,47
2019-10-16, ,32
2019-10-17, ,42
2019-11-01, ,116
2019-11-02, ,53
2019-11-03, ,36
2019-11-04, ,66
2019-11-05, ,40
2019-11-06, ,33
2019-11-07, ,36
2019-11-08, ,19
2019-11-09, ,34
2019-11-10, ,32
2019-11-11, ,53
2019-11-12, ,15
2019-11-13, ,26
2019-11-14, ,42
2019-11-15, ,49
2019-11-16, ,58
2019-11-17, ,55
2019-11-18, ,55
2019-11-19, ,87
2019-11-20, ,55
2019-11-21, ,49
2019-11-22, ,54
2019-11-23, ,38
2019-11-24, ,82
2019-11-25, ,88
2019-11-26, ,103
2019-11-27, ,99
2019-11-28, ,58
