date, pm25, o3
2018-08-17,47,15
2018-08-18,54,19
2018-08-19,38,20
2018-08-20,32,17
2018-08-21,40,15
2018-08-22,31,20
2018-08-23,32,19
2018-08-24,34,16
2018-08-25,27,15
2018-08-26,22,15
2018-08-27,24,19
2018-08-28,31,18
2018-08-29,33,20
2018-08-30,32,20
2018-08-31,30,22
2018-09-01,26,22
2018-09-02,30,20
2018-09-03,51,19
2018-09-04,48,20
2018-09-05,29,20
2018-09-06,25,19
2018-09-07,29,20
2018-09-08,31,13
2018-09-09,24,17
2018-09-10,25,17
2018-09-11,21,19
2018-09-12,17,20
2018-09-13,17,20
2018-09-14,22,19
2018-09-15,21,21
2018-09-16,20,24
2018-09-17,29,15
2018-09-18,24,15
2018-09-19,29,15
2018-09-20,36,13
2018-09-21,29,14
2018-09-22,29,22
2018-09-23,34,26
2018-09-24,21,20
2018-09-25,28,18
2018-09-26,35,17
2018-09-27,52,24
2018-09-28,28,24
2018-09-29,30,22
2018-09-30,21,21
2018-10-01,22,20
2018-04-26,36,43
2018-04-27,43,41
2018-04-28,37,44
2018-04-29,45,44
2018-04-30,37,42
2018-05-01,37,35
2018-05-02,56,25
2018-05-03,70,23
2018-05-04,59,21
2018-05-05,62,21
2018-05-06,43,26
2018-05-07,44,44
2018-05-08,50,48
2018-05-09,45,35
2018-05-10,45,32
2018-05-11,44,33
2018-05-12,44,29
2018-05-13,67,30
2018-05-14,67,29
2018-05-15,49,24
2018-05-16,46,26
2018-05-17,49,31
2018-05-18,41,34
2018-05-19,56,30
2018-05-20,56,26
2018-05-21,61,25
2018-05-22,31,55
2018-05-23,42,22
2018-05-24,38,23
2018-05-25,44,25
2018-05-26,38,24
2018-05-27,35,32
2018-05-28,33,30
2018-05-29,33,31
2018-05-30,36,25
2018-05-31,40,22
2018-06-01,58,28
2018-06-02,69,21
2018-06-03,70,24
2018-06-05,34,20
2018-06-06,45,22
2018-06-07,47,23
2018-06-08,52,23
2018-06-09,67,14
2018-06-10,61,16
2018-06-11,75,17
2018-06-12,69,17
2018-06-13,50,18
2018-06-14,40,20
2018-06-15,40,18
2018-06-16,36,23
2018-06-17,41,19
2018-06-18,40,23
2018-06-19,47,19
2018-06-20,38,20
2018-06-21,28,21
2018-06-22,37,24
2018-06-23,56,20
2018-06-24,63,21
2018-06-25,40,18
2018-06-26,51,20
2018-06-27,48,15
2018-06-28,48,14
2018-06-29,59,14
2018-06-30,89,15
2018-07-01,115,16
2018-01-02,22,17
2018-01-03,16,21
2018-01-04,27,32
2018-01-05,31,31
2018-01-06,26,29
2018-01-07,32,27
2018-01-08,20,27
2018-01-09,28,30
2018-01-10,27,32
2018-01-11,32,29
2018-01-12,43,29
