date, pm25, o3
2017-12-28,116,33
2017-12-29,74,33
2017-12-30,55,41
2017-12-31,75,33
2018-01-01,100,36
2017-07-02,61,37
2017-07-03,53,41
2017-07-04,45,40
2017-07-05,46,40
2017-07-06,48,43
2017-07-07,46,41
2017-07-08,55,41
2017-07-09,69,33
2017-07-10,78,36
2017-07-11,60,33
2017-07-12,38,30
2017-07-13,34,30
2017-07-14,41,28
2017-07-15,34,31
2017-07-16,49,31
2017-07-17,55,28
2017-07-18,51,29
2017-07-19,51,31
2017-07-20,50,30
2017-07-21,28,35
2017-07-22,35,36
2017-07-23,18,31
2017-07-24,31,25
2017-07-25,21,27
2017-07-26,8,30
2017-07-27,16,36
2017-07-28,40,33
2017-07-29,46,32
2017-07-30,53,34
2017-07-31,54,35
2017-08-01,59,31
2017-08-02,53,33
2017-08-03,47,36
2017-08-04,40,30
2017-08-05,51,31
2017-08-06,57,32
2017-08-07,60,33
2017-08-08,39,33
2017-08-09,57,38
2017-08-10,70,39
2017-08-11,58,39
2017-08-12,45,43
2017-08-14,3,35
2017-08-16,10,33
2017-08-17,10,36
2017-08-18,7,33
2017-08-19,37,39
2017-08-20,49,31
2017-08-21,42,33
2017-08-22,37,37
2017-08-23,45,33
2017-08-24,46,37
2017-08-25,53,43
2017-08-26,66,45
2017-08-27,60,47
2017-08-28,57,38
2017-08-29,51,52
2017-08-30,74,63
2017-08-31,89,63
2017-09-01,76,59
2017-09-02,71,39
2017-09-03,64,24
2017-09-04,22,33
2017-09-05,61,18
2017-09-06,62, 
2017-09-10,45,42
2017-09-11,53,43
2017-09-12,54,41
2017-09-13,47,35
2017-09-14,35,31
2017-09-15,27,32
2017-09-16,23,34
2017-09-17,47,38
2017-09-18,45,43
2017-09-19,43,38
2017-09-20,60,34
2017-09-21,46,32
2017-09-22,39,34
2017-09-23,30,30
2017-09-24,29,42
2017-09-25,34,46
2017-09-26,45,48
2017-09-27,50,47
2017-09-28,49,48
2017-09-29,47,56
2017-09-30,50,38
2017-10-01,60,37
2017-04-02,50,44
2017-04-03,41,33
2017-04-04,55,38
2017-04-05,22,57
2017-04-06,49,49
2017-04-07,58,47
2017-04-08,50,40
2017-04-09,29,45
2017-04-10,24,50
2017-04-11,37,47
2017-04-12,46,41
2017-04-13,31,35
2017-04-14,6,44
2017-04-15,19,50
2017-04-16,41,54
2017-04-17,57,42
2017-04-18,37,26
2017-04-19,9,27
2017-04-20,14,47
2017-04-21,64,61
2017-04-22,60,75
2017-04-23,73,38
2017-04-24,66,40
2017-04-25,47,40
2017-04-26,20,50
2017-04-27,35,31
2017-04-28,30,50
2017-04-29,53,55
2017-04-30,32,58
2017-05-01,38,49
2017-05-02,49,44
2017-05-03,71,47
2017-05-04,66,43
2017-05-05,49,34
2017-05-11,9,36
2017-05-12,11,39
2017-05-13,19,44
2017-05-14,24,40
2017-05-15,30,38
2017-05-16,18,38
2017-05-17,15,33
2017-05-18,22,38
2017-05-23,16,38
2017-05-24,22,33
2017-05-25,24,33
2017-05-26,22,33
2017-05-27,5,34
2017-05-28,8,38
2017-05-29,19,41
2017-05-30,40,38
2017-05-31,44,34
2017-06-01,37,39
2017-06-02,11,47
2017-06-03,23,51
2017-06-04,46,37
2017-06-05,18,34
2017-06-06,41,27
2017-06-07,15,34
2017-06-08,23,43
2017-06-09,19,36
2017-06-10,23,26
2017-06-11,20,30
2017-06-12,17,35
2017-06-13,13,38
2017-06-14,35,42
2017-06-15,64,42
2017-06-20,24,38
2017-06-21,20,34
2017-06-22,35,30
2017-06-23,40,26
2017-06-24,36,33
2017-06-25,38,41
2017-06-26,52,38
2017-06-27,76,34
2017-06-28,74,28
2017-06-29,43,31
2017-06-30,30,40
2017-07-01,58,39
2017-01-03,31,25
2017-01-04,39,24
2017-01-05,39,24
2017-01-06,41,31
2017-01-07,20,27
2017-01-08,56,32
2017-01-09,45,18
2017-01-10,72,31
2017-01-11,41,26
2017-01-12,33,28
2017-01-13,40,33
2017-01-14,27,31
2017-01-15,64,29
2017-01-16,60,28
2017-01-17,60,31
2017-01-18,59,33
2017-01-19,66,35
2017-01-20,39,34
2017-01-21,36,35
2017-01-22,23,32
2017-01-23,31,34
2017-01-24,22,33
2017-01-25,31,34
2017-01-26,41,30
2017-01-27,62,37
2017-01-28,23,34
2017-01-29,20,38
2017-01-30,20,36
2017-01-31,24,33
2017-02-01,64,30
2017-02-02,77,33
2017-02-03,63,27
2017-02-04,66,31
2017-02-05,30,32
2017-02-06,40,25
2017-02-07,33,23
2017-02-08,19,9
2017-02-09,41,17
2017-02-10,63,16
2017-02-11,51,32
2017-02-12,56,32
2017-02-13,35,29
2017-02-14,53,28
2017-02-15,62,32
2017-02-16,56,37
2017-02-17,65,38
2017-02-18,52,43
2017-02-19,13,34
2017-02-20,21,33
2017-02-21,34,26
2017-02-22,37,36
2017-02-23,36,38
2017-02-24,27,40
2017-02-25,42,42
2017-02-26,47,34
2017-02-27,20,30
2017-02-28,19,38
2017-03-01,27,35
2017-03-02,33,35
2017-03-03,22,41
2017-03-04,28,37
2017-03-05,54,34
2017-03-06,40,35
2017-03-07,22,36
2017-03-08,46,35
2017-03-09,61,53
2017-03-10,68,51
2017-03-11,65,46
2017-03-12,74,45
2017-03-13,80,41
2017-03-14,87,42
2017-03-15,58,46
2017-03-16,56,39
2017-03-17,69,39
2017-03-18,77,39
2017-03-19,54,36
2017-03-20,58,33
2017-03-21,41,22
2017-03-22,21,32
2017-03-23,35,37
2017-03-24,10,38
2017-03-25,28,39
2017-03-26,18,39
2017-03-27,5,35
2017-03-28,17,43
2017-03-29,32,49
2017-03-30,44,40
2017-03-31,50,39
2017-04-01,46,43
2016-10-02,50,36
2016-10-03,50,39
2016-10-04,44,34
2016-10-05,41,40
