date, pm25, o3, no2
2018-12-27,102,31,20
2018-12-28,58,25,28
2018-12-29,86,38,30
2018-12-30,109,29,21
2018-12-31,95, , 
2018-07-03,89,38,17
2018-07-04,68,53,21
2018-07-05,78,30,14
2018-07-06,68,21,12
2018-07-07,38,41,13
2018-07-08,36,37,17
2018-07-09,58,52,22
2018-07-10,71,33,24
2018-07-11,54,51,20
2018-07-12,56,34,22
2018-07-13,66,52,20
2018-07-14,88,47,23
2018-07-15,71,58,17
2018-07-16,96,47,21
2018-07-17,112,45,21
2018-07-18,67,37,23
2018-07-19,79,57,15
2018-07-20,69,46,16
2018-07-21,60,38,14
2018-07-22,58,60,13
2018-07-23,67,59,15
2018-07-24,69,48,16
2018-07-25,67,44,24
2018-07-26,67,60,21
2018-07-27,72,52,27
2018-07-28,85,51,20
2018-07-29,58,12,36
2018-07-30,82,48,19
2018-07-31,58,54,19
2018-08-01,54,37,15
2018-08-02,39,31,11
2018-08-03,34,34,12
2018-08-04,34,29,19
2018-08-05,62,42,13
2018-08-06,39,26,17
2018-08-07,34,45,19
2018-08-08,57,52,25
2018-08-09,63,50,21
2018-08-10,63,41,19
2018-08-11,47,65,25
2018-08-12,64,36,23
2018-08-13,49,53,27
2018-08-14,60,61,18
2018-08-15,92,30,25
2018-08-16,49,9,30
2018-08-17,71,42,26
2018-08-18,67,43,21
2018-08-19,58,63,16
2018-08-20,47,37,18
2018-08-21,49,29,22
2018-08-22,47,37,20
2018-08-23,50,28,19
2018-08-24,52,44,25
2018-08-25,61,54,18
2018-08-26,66,43,18
2018-08-27,52,39,21
2018-08-28,53,36,22
2018-08-29,42,44,25
2018-08-30,55,48,23
2018-08-31,49,59,19
2018-09-01,57,12,18
2018-09-02,30, , 
2018-09-04,63,35,19
2018-09-05,60,41,15
2018-09-06,55,30,22
2018-09-07,42,47,22
2018-09-08,69,56,17
2018-09-09,77,44,13
2018-09-10,62,42,18
2018-09-11,71,34,21
2018-09-12,68,50,22
2018-09-13,67,40,29
2018-09-14,61,22,21
2018-09-15,58,36,19
2018-09-16,53,32,25
2018-09-17,70,17,31
2018-09-18,56,47,36
2018-09-19,92,50,27
2018-09-20,89,39,15
2018-09-21,54,47,20
2018-09-22,51,39,18
2018-09-23,67,32,16
2018-09-24,47,44,17
2018-09-25,64,40,22
2018-09-26,60,39,24
2018-09-27,65,35,20
2018-09-28,59,30,15
2018-09-29,44,36,20
2018-09-30,66,42,12
2018-10-01,48,30,12
2018-04-06,85,57,28
2018-04-07,87,72,27
2018-04-08,97,63,27
2018-04-09,91,64,23
2018-04-10,92,46,23
2018-04-11,89,50,20
2018-04-12,49,9,32
2018-04-13,85,59,23
2018-04-14,73,45,18
2018-04-15,71,56,15
2018-04-16,111,61,19
2018-04-17,115,89,21
2018-04-18,87,63,23
2018-04-19,123,54,23
2018-04-20,99,74,19
2018-04-21,84,87,18
2018-04-22,108,90,20
2018-04-23,102,73,21
2018-04-24,92,53,32
2018-04-25,108,65,28
2018-04-26,100,73,22
2018-04-27,115,78,24
2018-04-28,90,55,22
2018-04-29,83,73,19
2018-04-30,87,48,24
2018-05-01,79,47,18
2018-05-02,66,35,22
2018-05-03,60,62,22
2018-05-04,75,79,24
2018-05-05,94,40,16
2018-05-06,59,30,15
2018-05-07,41,46,17
2018-05-08,53,19,23
2018-05-09,79,64,22
