date, pm25, pm10, no2
2018-03-23, ,21,7
2018-03-24, ,33,7
2017-11-08, ,21,13
2017-11-19, ,17,14
2017-11-29, ,23,15
2017-11-30, ,24,14
2017-12-01, ,23,14
2017-12-02, ,37,19
2017-12-06, ,879,10
2017-07-18, ,90,50
2017-04-02, ,867,36
2017-04-04, ,866,38
2017-04-06, ,866,38
2017-04-10, ,866,38
2017-04-11, ,866,37
2017-04-12, ,866,36
2017-04-13, ,866, 
2017-04-14, ,866, 
2017-04-15, ,866, 
2017-04-16, ,866, 
2017-04-17, ,866, 
2017-04-18, ,866, 
2017-04-19, ,866, 
2017-04-22, ,866, 
2017-04-24, ,866, 
2017-01-30, ,864,43
2017-02-07, ,865,40
2017-02-10, ,865,40
2017-02-17, ,865,40
2017-03-04, ,866,40
2017-03-24, ,128,44
2017-03-30, ,866,38
2017-03-31, ,866,38
2016-10-28, ,864,15
2016-11-11, ,210,7
2016-11-16, ,167,20
2016-12-01, ,39,16
2018-01-16, , ,13
2018-01-17, , ,10
2018-01-18, , ,11
2017-12-07, , ,10
2017-12-08, , ,11
2017-12-09, , ,17
2017-12-10, , ,17
2017-12-11, , ,18
2017-12-12, , ,19
2017-12-13, , ,21
2017-12-14, , ,18
2017-12-15, , ,17
2017-12-16, , ,14
2017-12-17, , ,17
2017-12-18, , ,16
2017-12-19, , ,14
2017-12-20, , ,17
2017-04-07, , ,39
2017-04-09, , ,38
2017-04-25, , , 
2016-11-09, , ,13
2016-11-10, , ,12
2017-05-30, , , 
